UID	TIME	A	B	C	D	E	F
double	double	double	double	double	double	double	double
3	37	46.500000	0.339022	2.236388	-0.309764	0.006662	0.017939
3	38	47.625000	0.339022	1.897953	-0.282222	0.011846	0.018666
3	39	47.125000	0.339022	2.037572	-0.297488	0.019884	0.018314
3	40	46.250000	0.339022	2.303715	-0.319166	0.013657	0.017516
3	41	46.375000	0.339022	2.260139	-0.317868	0.014313	0.017570
3	42	46.875000	0.339022	2.099537	-0.307932	0.012909	0.017957
3	43	45.625000	0.339022	2.500918	-0.341456	0.014633	0.016619
3	44	45.875000	0.339022	2.413198	-0.337537	0.012074	0.016839
3	45	46.625000	0.339022	2.164165	-0.317554	0.016811	0.017542
3	46	47.125000	0.339022	2.003248	-0.305662	0.022644	0.017873
3	47	48.250000	0.339022	1.670832	-0.274644	0.022336	0.018361
3	48	47.000000	0.339022	2.031371	-0.312286	0.023497	0.017656
3	49	46.500000	0.339022	2.186750	-0.327572	0.015310	0.017156
3	50	47.750000	0.339022	1.793628	-0.292876	0.010919	0.017975
3	51	47.250000	0.339022	1.937592	-0.307206	0.016220	0.017610
3	52	47.500000	0.339022	1.855446	-0.302080	0.016760	0.017702
3	53	46.750000	0.339022	2.085201	-0.328134	0.022179	0.017099
3	54	47.500000	0.339022	1.842828	-0.304154	0.015136	0.017546
3	55	48.250000	0.339022	1.614449	-0.284690	0.015825	0.017834
3	56	47.875000	0.339022	1.716205	-0.297506	0.017193	0.017624
3	57	48.250000	0.339022	1.598896	-0.286966	0.031232	0.017678
3	58	48.000000	0.339022	1.664372	-0.296636	0.009705	0.017527
3	59	48.875000	0.339022	1.410071	-0.266012	0.020847	0.017554
3	60	48.625000	0.339022	1.468938	-0.275568	0.022741	0.017438
3	61	49.625000	0.339022	1.201684	-0.239752	0.017322	0.017166
3	62	50.125000	0.339022	1.075472	-0.223970	0.026364	0.016827
3	63	51.125000	0.339022	0.859228	-0.188312	0.023680	0.015881
3	64	52.000000	0.339022	0.694515	-0.163484	0.022101	0.014970
3	65	52.125000	0.339022	0.663327	-0.159380	0.018489	0.014686
3	66	51.250000	0.339022	0.803106	-0.186038	0.017975	0.015510
3	67	51.000000	0.339022	0.839290	-0.194304	0.020201	0.015603
3	68	52.375000	0.339022	0.590801	-0.150152	0.017961	0.013910
3	69	51.250000	0.339022	0.768113	-0.188132	0.022648	0.015244
3	70	51.625000	0.339022	0.688014	-0.173750	0.020312	0.014605
3	71	52.375000	0.339022	0.554423	-0.149200	0.017374	0.013466
3	72	53.000000	0.339022	0.455332	-0.127428	0.020400	0.012249
3	73	52.500000	0.339022	0.510627	-0.143550	0.021920	0.012906
3	74	53.250000	0.339022	0.400415	-0.116364	0.019625	0.011325
3	75	52.750000	0.339022	0.450234	-0.132038	0.019879	0.012051
3	76	52.000000	0.339022	0.544323	-0.156710	0.021905	0.012996
3	77	52.750000	0.339022	0.424350	-0.127214	0.022367	0.011432
3	78	52.375000	0.339022	0.460947	-0.140294	0.021656	0.011967
3	79	53.625000	0.339022	0.306199	-0.101300	0.019176	0.009847
3	80	54.500000	0.339022	0.228359	-0.077738	0.017472	0.008272
3	81	56.875000	0.339022	0.102306	-0.033994	0.008800	0.004595
3	82	56.750000	0.339022	0.106682	-0.035686	0.008344	0.004772
3	83	55.500000	0.339022	0.162988	-0.055314	0.013808	0.006531
3	84	58.000000	0.339022	0.069567	-0.024826	0.003816	0.003656
3	85	58.250000	0.339022	0.063571	-0.023214	0.004040	0.003478
3	86	59.500000	0.339022	0.039631	-0.015418	0.002664	0.002536
3	87	60.250000	0.339022	0.029376	-0.012344	0.003320	0.002117
3	88	59.750000	0.339022	0.035979	-0.013934	0.003632	0.002305
3	89	59.750000	0.339022	0.035987	-0.013940	0.003600	0.002305
3	90	58.000000	0.339022	0.069659	-0.024858	0.003800	0.003660
3	91	59.875000	0.339022	0.034297	-0.013492	0.001528	0.002266
3	92	60.000000	0.339022	0.032637	-0.013232	0.001144	0.002232
3	93	59.250000	0.339022	0.043716	-0.016878	0.003888	0.002727
3	94	59.875000	0.339022	0.034320	-0.013502	0.001536	0.002268
3	95	60.500000	0.339022	0.026504	-0.011062	0.003160	0.001932
3	96	59.250000	0.339022	0.043745	-0.016888	0.003920	0.002729
3	97	60.125000	0.339022	0.031030	-0.012926	0.001792	0.002204
3	98	61.875000	0.339022	0.014579	-0.006862	0.001032	0.001307
3	99	63.375000	0.339022	0.006752	-0.003708	0.000488	0.000766
3	100	62.750000	0.339022	0.009369	-0.004938	0.001872	0.000990
3	101	61.000000	0.339022	0.021497	-0.009032	0.003008	0.001629
3	102	61.500000	0.339022	0.017321	-0.007808	0.001704	0.001458
3	103	63.250000	0.339022	0.007229	-0.003846	0.001024	0.000781
3	104	64.750000	0.339022	0.002850	-0.002136	0.000864	0.000468
3	105	64.875000	0.339022	0.002594	-0.001972	0.000784	0.000434
