id anom1989 anom1990 anom1991 anom1992 anom1993 anom1994 anom1995 anom1996 anom1997 anom1998 anom1999 anom2000 anom2001 maxabs relchg cv posper negper dem slope aspect cti nearstrm
double double double double double double double double double double double double double double double double double double double double double double double double
78 -0.0411538 -0.0711538 -0.0211539 -0.0111539 -0.0261538 -0.00115382 -0.0561539 -0.0661538 0.0538461 0.0888461 0.0738462 0.0938462 -0.0161539 0.0938462 0.66485 2.51784 5 0 1565 6.59 311 2.16 3660.34 
79 -0.01 -0.06 -0.025 -0.01 -0.025 4.58497e-008 -0.05 -0.05 0.065 0.065 0.06 0.06 -0.02 0.065 0.481481 3.0129 5 1 1641 11.7 307 2.67 3394.87 
80 0.0203846 -0.0646154 -0.00461539 0.0153846 -0.0346154 0.0253846 -0.0496154 -0.0596154 0.0303846 0.0553846 0.0403846 0.0453846 -0.0196154 0.0646154 0.498516 3.24248 3 1 1858 9.39 295 1.8 3413.52 
81 0.0157692 -0.0592308 0.00576923 0.0207692 -0.0392307 0.0157693 -0.0342308 -0.0692308 0.0357693 0.0257692 0.0507693 0.0507692 -0.0192308 0.0692308 0.557276 3.21238 3 1 2084 2.05 68 3.33 3712.02 
82 0.0265385 -0.0584616 -0.00846157 0.00153842 -0.0534615 -0.0134615 -0.0134616 -0.0734615 0.0215385 0.0615385 0.0915385 0.0515385 -0.0334615 0.0915385 0.61658 3.13149 2 3 1823 9.02 84 2.53 4036.56 
83 0.0726923 -0.0623077 -0.00730772 -0.0123077 -0.0523077 -0.00230767 -0.0223077 -0.0873077 0.0426923 0.0476923 0.0576923 0.0726923 -0.0473077 0.0873077 0.555012 3.02391 2 3 1585 6.94 62 3.9 4272.8 
84 0.011923 -0.0480769 -0.0280769 0.026923 -0.0230769 -0.00307694 -0.033077 -0.0430769 0.0419231 0.0319231 0.0369231 0.0619231 -0.0330769 0.0619231 0.448468 3.87255 4 1 1585 6.2 61 2.22 4689.14 
85 0.0357692 -0.0742308 -0.0492308 0.0207692 -0.0342307 0.00576924 -0.0442308 -0.0392307 0.0407693 0.0407692 0.0707692 0.0507692 -0.0242307 0.0742308 0.574405 2.89849 4 1 1510 2.56 258 6.6 4874.27 
86 -0.0469231 -0.0619231 -0.036923 0.0130769 -0.046923 0.00807691 -0.0269231 -0.046923 0.0530769 0.0630769 0.0880769 0.073077 -0.0319231 0.0880769 0.693939 2.49371 7 0 1524 5.42 229 4.43 4247.5 
87 -0.0653846 -0.0653846 -0.0153846 -0.000384615 -0.0403846 0.0496154 -0.0203847 -0.0453846 0.0396154 0.0196154 0.0946154 0.0846154 -0.0353846 0.0946154 0.785942 2.33102 7 0 1525 4.94 262 4.39 3784.7 
88 -0.0430769 -0.053077 -0.043077 0.0069231 -0.0230769 0.011923 -0.0380769 -0.0230769 0.0469231 0.0419231 0.0669231 0.0619231 -0.0130769 0.0669231 0.682353 2.40182 7 0 1835 9.48 325 1.79 3550.59 
